TransactionID,Date,ProductID,ChannelID,Region,UnitsSold,SellPrice,Discount,TradeSpend,CustomerID,GrossSales,NetSales,COGS,Profit
5686059,3/1/2021,2,3,Africa,27,97.02,0.04,2764.34,4373,2619.54,2514.7584,1416.07,-1665.6516
7762380,12/19/2023,4,4,China,130,22.54,0.195,251.02,4998,2930.2,2358.811,1584.01,523.781
1491263,12/4/2023,2,1,Latin America,175,193.68,0.208,908.29,3074,33894,26844.048,18322.46,7613.298
7662859,9/14/2022,1,2,APAC,16,75.82,0.167,396.61,3953,1213.12,1010.52896,655.79,-41.87104
8361472,11/30/2022,3,4,India,21,116.71,0.146,415.74,2043,2450.91,2093.07714,1324.92,352.41714
9802433,11/3/2021,2,3,Latin America,30,48.62,0.231,984.78,1459,1458.6,1121.6634,788.49,-651.6066
6119559,8/21/2023,1,3,APAC,184,196.15,0.034,2098.02,4673,36091.6,34864.4856,19510.45,13256.0156
8777005,11/5/2022,5,3,China,85,165.89,0.058,657.98,1818,14100.65,13282.8123,7622.55,5002.2823
8633404,3/13/2022,6,2,India,66,69.79,0.009,108.76,1129,4606.14,4564.68474,2489.99,1965.93474
9355097,3/27/2023,2,1,APAC,119,179.48,0.223,516.68,3767,21358.12,16595.25924,11545.8,4532.77924
6264638,3/3/2023,3,4,China,4,139.21,0.218,2662.15,4643,556.84,435.44888,301.02,-2527.72112
4322213,1/11/2022,4,4,Europe,112,141.28,0.057,2076.79,4259,15823.36,14921.42848,8553.81,4290.82848
7982546,2/3/2022,3,3,Middle East,184,170.08,0.163,1209.4,4958,31294.72,26193.68064,16917.34,8066.94064
5770260,10/29/2023,3,4,APAC,109,142.48,0.11,1618.01,1020,15530.32,13821.9848,8395.4,3808.5748
6700491,11/15/2021,3,2,APAC,58,139.46,0.125,2776.06,1230,8088.68,7077.595,4372.59,-71.055
9790268,12/19/2022,6,2,Africa,173,8.31,0.179,867.38,1579,1437.63,1180.29423,777.16,-464.24577
1188317,1/4/2021,4,4,North America,105,151.94,0.227,335.87,3517,15953.7,12332.2101,8624.27,3372.0701
1745431,5/17/2021,4,2,North America,188,76.24,0.224,2476.84,2038,14333.12,11122.50112,7748.22,897.44112
1412649,7/30/2023,3,1,North America,117,170.51,0.033,2522.56,2960,19949.67,19291.33089,10784.42,5984.35089
5342513,12/12/2021,5,4,Latin America,14,112.18,0.096,784.43,1750,1570.52,1419.75008,848.99,-213.66992
7991326,9/11/2023,4,3,North America,124,193.48,0.101,186.63,1368,23991.52,21568.37648,12969.37,8412.37648
5490326,1/21/2021,4,2,Latin America,158,13.31,0.146,1028.03,2375,2102.98,1795.94492,1136.83,-368.91508
5839401,5/23/2022,2,1,APAC,177,32.62,0.245,1142.56,2734,5773.74,4359.1737,3121.18,95.4337
9487943,5/9/2021,5,3,Europe,12,101.75,0.13,1935.02,2349,1221,1062.27,660.05,-1532.8
4969343,4/20/2023,4,1,Europe,57,143.39,0.035,671.94,2026,8173.23,7887.16695,4418.3,2796.92695
4935766,5/2/2021,5,1,Africa,7,9.01,0.178,2429.48,2944,63.07,51.84354,34.09,-2411.72646
6966337,12/9/2021,5,1,APAC,76,47.27,0.021,2670.47,3067,3592.52,3517.07708,1942.05,-1095.44292
8468928,1/1/2023,6,4,,194,191.75,0.211,2619.26,4190,37199.5,29350.4055,20109.36,6621.7855
1323900,3/11/2023,3,4,India,66,28.83,0.113,2942.95,4816,1902.78,1687.76586,1028.61,-2283.79414
5389073,1/3/2022,2,2,Europe,1,62.26,0.226,89.44,3001,62.26,48.18924,33.66,-74.91076
7349528,10/7/2023,,4,North America,113,142.01,0.133,1534.54,4230,16047.13,13912.86171,8674.78,3703.54171
8995823,3/29/2022,4,1,APAC,125,94.82,0.056,2756.86,2879,11852.5,11188.76,6407.24,2024.66
3789354,9/3/2021,7,1,Latin America,153,164.43,0.226,2226.87,1657,25157.79,19472.12946,13599.83,3645.42946
3966046,9/2/2021,,3,Europe,37,174.34,0.018,1405.35,2091,6450.58,6334.46956,3487.06,1442.05956
4686293,4/25/2021,6,1,,129,181.27,0.136,535.52,3015,23383.83,20203.62912,12640.86,7027.24912
8007793,3/6/2021,7,4,Africa,99,165.17,0.144,1183.72,1178,16351.83,13997.16648,8839.49,3973.95648
9226105,5/10/2021,,3,Middle East,54,105.51,0.148,553.99,4282,5697.54,4854.30408,3079.98,1220.33408
3022340,11/15/2023,5,4,China,69,49.25,0.17,2525.41,3884,3398.25,2820.5475,1837.03,-1541.8925
3435864,3/25/2022,4,1,India,70,193.7,0.13,2525.2,4792,13559,11796.33,7329.74,1941.39
7421547,5/25/2021,7,2,Middle East,86,177.44,0.027,1581.41,4641,15259.84,14847.82432,8249.19,5017.22432
9866842,12/9/2021,5,2,India,20,18.67,0.2,2648.79,3061,373.4,298.72,201.85,-2551.92
1619817,4/7/2022,1,2,Europe,170,17.9,0.054,490.76,4248,3043,2878.678,1644.99,742.928
3490383,7/9/2023,7,1,India,154,121.45,0.24,317.42,2287,18703.3,14214.508,10110.66,3786.428
3059328,10/24/2022,2,3,Africa,35,21.32,0.011,1806.3,1753,746.2,737.9918,403.38,-1471.6882
9898756,8/10/2021,2,4,Latin America,64,65.48,0.035,586.52,3228,4190.72,4044.0448,2265.43,1192.0948
7959129,11/19/2022,,1,China,159,156.64,0.13,865.86,4366,24905.76,21668.0112,13463.59,7338.5612
4530466,9/6/2023,7,2,North America,129,178.02,0.07,2849.62,3228,22964.58,21357.0594,12414.22,6093.2194
1931287,8/26/2021,7,4,Europe,49,64.1,0.21,2733.23,1204,3140.9,2481.311,1697.91,-1949.829
8144730,3/3/2021,,1,Middle East,74,46.71,0.074,2246.9,4973,3456.54,3200.75604,1868.54,-914.68396
3098198,4/29/2021,,1,India,29,75.19,0.003,2104.68,3704,2180.51,2173.96847,1178.74,-1109.45153
3771943,5/22/2022,2,4,Africa,28,N/A,0.101,2982.86,2056,1183,1063.517,639.51,-2558.853
5408446,4/17/2023,4,2,Latin America,188,109.9,0.034,2201.71,1560,20661.2,19958.7192,11169.06,6587.9492
5820324,3/26/2021,3,1,Africa,122,167.7,0.178,2478.11,1269,20459.4,16817.6268,11059.97,3279.5468
6849243,3/20/2022,,1,Europe,16,110.46,0.097,1928.66,1236,1767.36,1595.92608,955.4,-1288.13392
7836537,1/28/2022,2,1,Africa,149,94.24,0.066,382.66,2161,14041.76,13115.00384,7590.71,5141.63384
3966152,12/22/2022,1,2,India,77,70.5,0.217,146.37,1070,5428.5,4250.5155,2934.55,1169.5955
2254688,6/29/2022,,3,Latin America,42,130.42,0.124,1482.38,2597,5477.64,4798.41264,2961.11,354.92264
9826634,9/18/2022,5,3,Middle East,55,134.82,0.246,180.5,1656,7415.1,5590.9854,4008.46,1402.0254
3822087,10/28/2021,3,1,North America,7,152.36,0.178,2876.18,2104,1066.52,876.67944,576.54,-2576.04056
3317614,6/9/2023,3,3,Middle East,83,26.72,0.089,544.61,3805,2217.76,2020.37936,1198.88,276.88936
3347936,5/6/2022,2,4,APAC,23,124.88,0.164,906,4891,2872.24,2401.19264,1552.68,-57.48736
4315416,1/2/2023,,3,Latin America,144,61.63,0.012,2695.35,2065,8874.72,8768.22336,4797.51,1275.36336
4089729,1/8/2021,,4,Latin America,54,151.28,0.155,2994.08,4091,8169.12,6902.9064,4416.07,-507.2436
4745613,6/26/2021,3,4,,135,88.88,0.041,2602.42,2656,11998.8,11506.8492,6486.33,2418.0992
1501507,4/6/2022,3,1,India,173,180.38,0.151,2390.57,4192,31205.74,26493.67326,16869.24,7233.86326
7605696,11/26/2022,2,4,India,86,8.02,0.225,590.01,4781,689.72,534.533,372.85,-428.327
4178957,2/19/2022,5,3,APAC,170,183.99,0.134,1471.46,3812,31278.3,27087.0078,16908.47,8707.0778
3652309,9/28/2022,,1,North America,118,84.33,0.16,450.38,1497,9950.94,8358.7896,5379.29,2529.1196
2344203,6/3/2023,5,4,Middle East,123,79.12,0.058,1757.32,2384,9731.76,9167.31792,5260.81,2149.18792
5544775,12/26/2023,6,4,Africa,117,8.44,0.213,556.74,2404,987.48,777.14676,533.81,-313.40324
8411789,10/18/2023,6,3,Middle East,110,55.16,0.129,1608.44,1106,6067.6,5284.8796,3280.03,396.4096
4246792,5/9/2022,2,1,Middle East,110,86.64,0.212,2211.2,2291,9530.4,7509.9552,5151.96,146.7952
7489131,2/24/2022,3,3,Africa,89,198.02,0.248,654.6,4631,17623.78,13253.08256,9527.09,3071.39256
6547783,5/21/2023,5,4,China,23,32.39,0.091,2545.46,3444,744.97,677.17773,402.72,-2271.00227
8418820,6/3/2023,4,3,Europe,59,194.95,0.204,2056.75,1818,11502.05,9155.6318,6217.79,881.0918
9100409,1/20/2021,3,4,China,151,133.32,0.095,1153.71,1204,20131.32,18218.8446,10882.62,6182.5146
1470768,10/28/2021,7,4,Europe,51,192.5,0.027,200.5,1866,9817.5,9552.4275,5307.16,4044.7675
3989564,3/27/2022,3,3,India,54,131.7,0.006,1541.32,3477,7111.8,7069.1292,3844.51,1683.2992
4487954,8/2/2021,,1,China,11,98.46,0.068,2841.59,2791,1083.06,1009.41192,585.48,-2417.65808
5800608,3/20/2022,2,3,APAC,78,123.65,0.241,231.45,1214,9644.7,7320.3273,5213.75,1875.1273
6647370,12/31/2021,,4,APAC,42,49,0.041,2528.34,4300,2058,1973.622,1112.52,-1667.238
3119959,12/18/2022,1,4,Middle East,151,6.51,0.069,2120.05,3516,983.01,915.18231,531.4,-1736.26769
5047737,8/31/2022,2,4,Africa,64,114.49,0.164,101.24,1096,7327.36,6125.67296,3961.03,2063.40296
6334730,12/3/2021,4,2,APAC,10,197.79,0.009,1478.81,2499,1977.9,1960.0989,1069.22,-587.9311
7503900,10/2/2021,,3,North America,49,84.6,0.212,459.84,3187,4145.4,3266.5752,2240.93,565.8052
2703572,3/7/2022,3,4,Middle East,20,42.05,0.171,1075.87,1786,841,697.189,454.63,-833.311
5565408,4/1/2022,6,2,China,73,59.77,0.043,1549.65,1025,4363.21,4175.59197,2358.67,267.27197
6819532,8/10/2022,3,1,APAC,86,187.27,0.217,489.05,1325,16105.22,12610.38726,8706.18,3415.15726
9655731,1/3/2022,1,3,Africa,154,37.04,0.14,1364.04,1775,5704.16,4905.5776,3083.56,457.9776
